identifier,tag_name,service,type,region,tags,arn
subnet-012c62ccb82e5a459,(not tagged),EC2,Subnet,sa-east-1,0,arn:aws:ec2:sa-east-1:679835924621:subnet/subnet-012c62ccb82e5a459
dopt-0ad3885dc6e47afb3,(not tagged),EC2,DHCPOptions,eu-west-2,0,arn:aws:ec2:eu-west-2:679835924621:dhcp-options/dopt-0ad3885dc6e47afb3
subnet-0ba88aee15f855a68,(not tagged),EC2,Subnet,ap-northeast-1,0,arn:aws:ec2:ap-northeast-1:679835924621:subnet/subnet-0ba88aee15f855a68
subnet-032f2f1d0ebe7bc86,(not tagged),EC2,Subnet,ap-northeast-1,0,arn:aws:ec2:ap-northeast-1:679835924621:subnet/subnet-032f2f1d0ebe7bc86
subnet-0e7891bdc63e1ece7,(not tagged),EC2,Subnet,ap-northeast-1,0,arn:aws:ec2:ap-northeast-1:679835924621:subnet/subnet-0e7891bdc63e1ece7
vpc-0ac3706edc3a8f1fa,(not tagged),EC2,VPC,ap-northeast-2,0,arn:aws:ec2:ap-northeast-2:679835924621:vpc/vpc-0ac3706edc3a8f1fa
vpc-09e18be491ceb0b25,(not tagged),EC2,VPC,sa-east-1,0,arn:aws:ec2:sa-east-1:679835924621:vpc/vpc-09e18be491ceb0b25
vpc-0f2b054d13c5b6915,(not tagged),EC2,VPC,ap-northeast-1,0,arn:aws:ec2:ap-northeast-1:679835924621:vpc/vpc-0f2b054d13c5b6915
subnet-032fb77589e50c743,(not tagged),EC2,Subnet,ap-southeast-2,0,arn:aws:ec2:ap-southeast-2:679835924621:subnet/subnet-032fb77589e50c743
subnet-055ede9fbe3237023,(not tagged),EC2,Subnet,ap-southeast-2,0,arn:aws:ec2:ap-southeast-2:679835924621:subnet/subnet-055ede9fbe3237023
subnet-0069cb62c89c56193,(not tagged),EC2,Subnet,ap-southeast-2,0,arn:aws:ec2:ap-southeast-2:679835924621:subnet/subnet-0069cb62c89c56193
dopt-0d16b30bf7ab01c86,(not tagged),EC2,DHCPOptions,ap-southeast-1,0,arn:aws:ec2:ap-southeast-1:679835924621:dhcp-options/dopt-0d16b30bf7ab01c86
vpc-0623caf6e77252d3c,(not tagged),EC2,VPC,ap-southeast-2,0,arn:aws:ec2:ap-southeast-2:679835924621:vpc/vpc-0623caf6e77252d3c
igw-0da8d208e11567a5c,(not tagged),EC2,InternetGateway,eu-west-2,0,arn:aws:ec2:eu-west-2:679835924621:internet-gateway/igw-0da8d208e11567a5c
acl-0be2dc6ded21848c7,(not tagged),EC2,NetworkAcl,eu-west-2,0,arn:aws:ec2:eu-west-2:679835924621:network-acl/acl-0be2dc6ded21848c7
igw-07afb44b4cec577a2,(not tagged),EC2,InternetGateway,ap-southeast-1,0,arn:aws:ec2:ap-southeast-1:679835924621:internet-gateway/igw-07afb44b4cec577a2
acl-04f20ef91263b89fe,(not tagged),EC2,NetworkAcl,ap-southeast-1,0,arn:aws:ec2:ap-southeast-1:679835924621:network-acl/acl-04f20ef91263b89fe
rtb-093290ab6ac2428c8,(not tagged),EC2,RouteTable,eu-west-2,0,arn:aws:ec2:eu-west-2:679835924621:route-table/rtb-093290ab6ac2428c8
sg-0c15d8230db718e17,(not tagged),EC2,SecurityGroup,eu-west-2,0,arn:aws:ec2:eu-west-2:679835924621:security-group/sg-0c15d8230db718e17
rtb-0cf48c76b9aef997c,(not tagged),EC2,RouteTable,ap-southeast-1,0,arn:aws:ec2:ap-southeast-1:679835924621:route-table/rtb-0cf48c76b9aef997c
sg-0f7c6bf5591cfb589,(not tagged),EC2,SecurityGroup,ap-southeast-1,0,arn:aws:ec2:ap-southeast-1:679835924621:security-group/sg-0f7c6bf5591cfb589
subnet-0d5ce684a924095c3,(not tagged),EC2,Subnet,eu-west-2,0,arn:aws:ec2:eu-west-2:679835924621:subnet/subnet-0d5ce684a924095c3
subnet-0fb6821a6d80be7fc,(not tagged),EC2,Subnet,eu-west-2,0,arn:aws:ec2:eu-west-2:679835924621:subnet/subnet-0fb6821a6d80be7fc
subnet-0451fc6c0a3cee9f6,(not tagged),EC2,Subnet,eu-west-2,0,arn:aws:ec2:eu-west-2:679835924621:subnet/subnet-0451fc6c0a3cee9f6
vpc-0be848c474237ff8a,(not tagged),EC2,VPC,eu-west-2,0,arn:aws:ec2:eu-west-2:679835924621:vpc/vpc-0be848c474237ff8a
